pair_id,layer,head,head_label,sequence_length,mean_signed_difference,mean_absolute_difference,mean_difference_norm,max_difference_norm,max_difference_position,max_difference_token
14,10,4,L10H4,12,0.003839553566649556,0.05492793023586273,0.6081767678260803,2.3608248233795166,6, convincing
15,8,9,L8H9,12,0.004349238704890013,0.01854630559682846,0.1888107806444168,0.6741182804107666,7,.
15,9,2,L9H2,12,-0.0008607160416431725,0.010027767159044743,0.09916612505912781,0.5374705791473389,11,:
15,10,4,L10H4,12,0.0013635143404826522,0.022532327100634575,0.22651366889476776,1.0786166191101074,11,:
16,8,9,L8H9,12,0.0008980947895906866,0.024022141471505165,0.2323472648859024,1.0305445194244385,11,:
16,9,2,L9H2,12,0.0021359967067837715,0.018154801800847054,0.18097452819347382,0.9937228560447693,11,:
16,10,4,L10H4,12,-0.0026392703875899315,0.035233184695243835,0.33639970421791077,2.077538013458252,11,:
17,8,9,L8H9,12,-0.0032474847976118326,0.026632027700543404,0.2637190520763397,1.1573476791381836,11,:
17,9,2,L9H2,12,-0.0022406752686947584,0.02487742342054844,0.24665136635303497,1.0284959077835083,11,:
17,10,4,L10H4,12,0.0031017593573778868,0.05261187627911568,0.5522013306617737,1.833893060684204,6, memorable
18,8,9,L8H9,12,0.003883355064317584,0.024610012769699097,0.24257759749889374,1.015836238861084,11,:
18,9,2,L9H2,12,-0.002391284564509988,0.014987423084676266,0.14489684998989105,0.680412232875824,11,:
18,10,4,L10H4,12,0.0018294370966032147,0.025502851232886314,0.25730717182159424,1.1746766567230225,11,:
19,8,9,L8H9,12,0.00353059615008533,0.02462976612150669,0.23757845163345337,0.6843515038490295,7,.
19,9,2,L9H2,12,-0.0007721279398538172,0.010842694900929928,0.11170641332864761,0.4978800415992737,11,:
19,10,4,L10H4,12,0.0011327835964038968,0.02226386032998562,0.2211049646139145,0.9770615100860596,11,:
20,8,9,L8H9,13,0.0005381759256124496,0.01637583039700985,0.15619054436683655,0.7287566661834717,12,:
20,9,2,L9H2,13,0.0017515233485028148,0.025103935971856117,0.24126245081424713,1.2182488441467285,12,:
20,10,4,L10H4,13,-0.0005495485384017229,0.021836211904883385,0.21463313698768616,1.3835407495498657,12,:
