head_label,position,token,mean_difference_norm,max_difference_norm
L10H4,6, convincing,2.3608248233795166,2.3608248233795166
L10H4,6, memorable,1.833893060684204,1.833893060684204
L10H4,11,:,1.391690343618393,2.530845880508423
L10H4,12,:,1.306689977645874,1.3835407495498657
L9H2,6, convincing,0.9057168960571289,0.9057168960571289
L9H2,12,:,0.9017899334430695,1.2182488441467285
L9H2,11,:,0.8909876594940821,1.7554409503936768
L8H9,11,:,0.8460244602627225,1.4448896646499634
L10H4,7, stunning,0.8427818417549133,0.8427818417549133
L10H4,6, outstanding,0.7983143925666809,0.7983143925666809
L8H9,12,:,0.7885988354682922,0.8484410047531128
L10H4,7,.,0.7703570938772626,1.731253743171692
L10H4,6, satisfying,0.6939628720283508,0.6939628720283508
L8H9,6, talented,0.6863805651664734,0.6863805651664734
L10H4,6, engaging,0.6814202666282654,0.6814202666282654
L9H2,8,.,0.6299227178096771,0.8257780075073242
L10H4,8,.,0.6199153065681458,0.6933056712150574
L10H4,10,iment,0.5739891082048416,0.9293354153633118
L8H9,11,iment,0.5733403414487839,0.647122859954834
L10H4,6, clever,0.5432475805282593,0.5432475805282593
L8H9,10,iment,0.5355624076392915,0.8341169953346252
L10H4,6, entertaining,0.5308264493942261,0.5308264493942261
L10H4,11,iment,0.4993593990802765,0.5236465930938721
L10H4,6, brilliant,0.48308703303337097,0.48308703303337097
L9H2,7,.,0.4571336814098888,0.908787190914154
L8H9,6, polished,0.45630303025245667,0.45630303025245667
L10H4,6, enjoyable,0.4404747486114502,0.4404747486114502
L10H4,6, polished,0.4310998320579529,0.4310998320579529
L10H4,6, excellent,0.42425546050071716,0.42425546050071716
L8H9,6, satisfying,0.41561928391456604,0.41561928391456604
L8H9,7,.,0.41056324624352986,0.9377921223640442
L9H2,10,Sent,0.3652498126029968,0.45836591720581055
L9H2,9,Sent,0.34705080050561166,0.766167402267456
L8H9,8,.,0.3432379812002182,0.5019665360450745
L9H2,10,iment,0.3264569549096955,0.7782494425773621
L8H9,6, brilliant,0.3197649419307709,0.3197649419307709
L8H9,6, convincing,0.31469962000846863,0.31469962000846863
L8H9,10,Sent,0.30047617852687836,0.3125004470348358
L8H9,6, perfect,0.2989538013935089,0.2989538013935089
L9H2,6, perfect,0.2964370548725128,0.2964370548725128
L8H9,9,Sent,0.2948932896057765,0.4929201006889343
L10H4,6, fascinating,0.2865883409976959,0.2865883409976959
L8H9,8,"
",0.2848760262131691,0.5929768085479736
L8H9,6, impressive,0.2827039361000061,0.2827039361000061
L9H2,11,iment,0.28060124814510345,0.33732137084007263
L10H4,6, wonderful,0.2722729444503784,0.2722729444503784
L8H9,7, stunning,0.2708600163459778,0.2708600163459778
L10H4,6, beautiful,0.2691177427768707,0.2691177427768707
L10H4,6, talented,0.24971763789653778,0.24971763789653778
L8H9,6, wonderful,0.2410891354084015,0.2410891354084015
L8H9,6, beautiful,0.21898210048675537,0.21898210048675537
L8H9,6, enjoyable,0.2188824862241745,0.2188824862241745
L8H9,6, excellent,0.21789541840553284,0.21789541840553284
L8H9,6, engaging,0.2142355740070343,0.2142355740070343
L8H9,9,"
",0.20519351214170456,0.23388689756393433
L10H4,8,"
",0.19647136040859753,0.5405235290527344
L9H2,7, fantastic,0.19604042172431946,0.19604042172431946
L8H9,6, outstanding,0.19147823750972748,0.19147823750972748
L10H4,9,Sent,0.18456509543789756,2.103527069091797
L8H9,6, fascinating,0.18027223646640778,0.18027223646640778
L8H9,6, entertaining,0.17705480754375458,0.17705480754375458
L10H4,7, fantastic,0.17400315403938293,0.17400315403938293
L9H2,7, stunning,0.1710030734539032,0.1710030734539032
L8H9,6, memorable,0.15596379339694977,0.15596379339694977
L8H9,7, fantastic,0.15270105004310608,0.15270105004310608
L8H9,6, clever,0.1510375589132309,0.1510375589132309
L10H4,6, impressive,0.15015970170497894,0.15015970170497894
L8H9,6, amazing,0.14777922630310059,0.14777922630310059
L10H4,9,"
",0.14369022101163864,0.1603642851114273
