rank,condition,num_heads,mean_recovery,median_recovery,positive_recovery_fraction,full_recovery_fraction,valid_pairs,total_pairs
1,L10H4 + L9H2 + L8H9,3,0.5466720854245802,0.5541303760501228,1.0,0.0,20,20
2,L10H4 + L9H2,2,0.4026487919630123,0.4063837638376383,1.0,0.0,20,20
3,L10H4 + L8H9,2,0.3665767181163559,0.3682590855803048,1.0,0.0,20,20
4,L9H2 + L8H9,2,0.3120248606204646,0.3218205954864404,1.0,0.0,20,20
5,L10H4,1,0.2226420201322467,0.2430071244226544,1.0,0.0,20,20
6,L9H2,1,0.1674106343775054,0.1501991276313294,1.0,0.0,20,20
7,L8H9,1,0.1427567378593285,0.1599403054201134,1.0,0.0,20,20
