pair_id,domain,clean_ld,corrupted_ld,single_patched_ld,circuit_patched_ld,single_recovery,circuit_recovery,circuit_minus_single
1,movie,1.0762939453125,-0.21822357177734375,0.10748291015625,0.5601654052734375,0.25160453808752026,0.6012965964343598,0.3496920583468396
8,movie,0.9897918701171875,-0.269012451171875,0.11998748779296875,0.3702545166015625,0.3090233584251549,0.5078366486054038,0.1988132901802489
12,movie,0.45844268798828125,-0.6960830688476562,-0.469482421875,-0.25328826904296875,0.19627162549727079,0.38352959835058087,0.18725797285331008
15,movie,0.989288330078125,0.3269500732421875,0.48941802978515625,0.7093353271484375,0.24529453774736792,0.5773262377035961,0.3320316999562282
16,movie,0.924041748046875,-0.5454788208007812,-0.1623687744140625,0.14952850341796875,0.2607041061610587,0.47294834720397894,0.21224424104292022
17,movie,1.2387847900390625,0.278106689453125,0.4651336669921875,0.7765045166015625,0.19468225353007512,0.5187979478708366,0.32411569434076143
18,movie,0.9242019653320312,-0.08154296875,0.087890625,0.41797637939453125,0.16846576901194765,0.4966660345154561,0.32820026550350845
19,movie,1.2661972045898438,0.3300018310546875,0.48394012451171875,0.7589645385742188,0.1644296669355956,0.45819785019843695,0.2937681832628414
20,movie,0.8046112060546875,-0.3928375244140625,-0.09508514404296875,0.3901824951171875,0.24865563994087364,0.6539069269585606,0.4052512870176869
22,movie,0.7282562255859375,-0.140899658203125,0.0086517333984375,0.23258209228515625,0.1720650971717491,0.4297062902687804,0.25764119309703126
26,restaurant,1.0614089965820312,0.05074310302734375,0.33931732177734375,0.6806182861328125,0.2855287989733525,0.6232279006567525,0.3376991016834
27,restaurant,1.091552734375,0.08526611328125,0.25463104248046875,0.6215362548828125,0.16830684781949415,0.5329198762661491,0.364613028446655
32,restaurant,1.2518539428710938,0.24200439453125,0.39603424072265625,0.6328887939453125,0.1525275190196656,0.3870719158677274,0.23454439684806178
33,restaurant,1.2228851318359375,0.2035369873046875,0.4477996826171875,0.84423828125,0.23962636967846238,0.6285402071732231,0.3889138374947607
34,restaurant,1.6523666381835938,0.4049835205078125,0.609100341796875,0.9779510498046875,0.16363603001889943,0.45933564530236026,0.29569961528346084
37,restaurant,0.9436111450195312,-0.0981597900390625,0.092681884765625,0.45281982421875,0.18318967095578811,0.5288874892894022,0.3456978183336141
41,software,1.3051528930664062,0.3409271240234375,0.42890167236328125,0.593017578125,0.09123853682852916,0.26144339032939556,0.1702048535008664
42,software,1.4432373046875,0.6128311157226562,0.6812973022460938,0.9522705078125,0.08244903209209596,0.4087630807677113,0.3263140486756153
50,software,0.81793212890625,0.3058624267578125,0.412689208984375,0.5482559204101562,0.2086176584522781,0.4733603504276051,0.264742691975327
52,software,0.9818801879882812,0.22662353515625,0.320587158203125,0.4944915771484375,0.12441283727132221,0.3546715424322932,0.230258705160971
54,software,0.8805160522460938,-0.1012420654296875,0.0275115966796875,0.3793792724609375,0.131146012231798,0.48955168206650557,0.35840566983470756
55,software,1.2449493408203125,0.40329742431640625,0.491363525390625,0.7382125854492188,0.10463482509495363,0.3979259769573139,0.29329115186236027
58,product,0.9615402221679688,-0.01808929443359375,0.29816436767578125,0.6145095825195312,0.3228298624632015,0.6457531814146197,0.3229233189514182
61,product,0.914794921875,0.424591064453125,0.5540008544921875,0.76983642578125,0.2639917823569694,0.7042893606424703,0.44029757828550087
63,product,1.3575210571289062,0.948150634765625,1.0321502685546875,1.1848373413085938,0.20519223959595206,0.5781724658478856,0.37298022625193356
64,product,1.4495391845703125,0.6614837646484375,0.7157363891601562,0.8556365966796875,0.0688436664988576,0.24636951554815475,0.17752584904929714
66,product,1.3830184936523438,0.61932373046875,0.7172393798828125,0.8817596435546875,0.128213069061629,0.3436397966013646,0.21542672753973563
70,product,0.9848403930664062,0.36490631103515625,0.45607757568359375,0.7550125122070312,0.14706606281382298,0.6292704538741755,0.4822043910603525
73,book,0.7046966552734375,0.2467803955078125,0.327423095703125,0.5038681030273438,0.176107964011996,0.5614295234921692,0.3853215594801732
74,book,0.8524246215820312,0.24834442138671875,0.33213043212890625,0.4947509765625,0.1387001439793882,0.40790371062668923,0.26920356664730105
78,book,1.1226882934570312,0.20677947998046875,0.37653350830078125,0.692535400390625,0.18533944189920867,0.5303540191586839,0.34501457725947515
79,book,1.2793197631835938,0.5718154907226562,0.644866943359375,0.8562545776367188,0.10325231306748334,0.402031617314038,0.2987793042465547
85,general,1.134857177734375,0.2966156005859375,0.3690948486328125,0.64385986328125,0.08646582324565395,0.4142532083371257,0.32778738509147176
86,general,0.764984130859375,0.51324462890625,0.526275634765625,0.6105804443359375,0.0517638501636562,0.38665292762759124,0.33488907746393504
87,general,1.0450286865234375,0.4134368896484375,0.5034637451171875,0.6650161743164062,0.14253962118283725,0.39832576343254733,0.2557861422497101
88,general,1.2923660278320312,0.4517669677734375,0.5769424438476562,0.8491058349609375,0.14891222465261075,0.4726853574637635,0.3237731328111527
91,general,1.9610443115234375,0.8360061645507812,0.9826278686523438,1.3146514892578125,0.13032598449759597,0.4254480845782953,0.29512210008069933
92,general,1.1577682495117188,0.2270355224609375,0.420166015625,0.7626190185546875,0.20750370922921807,0.5754428532784668,0.3679391440492487
96,general,1.3696823120117188,0.67474365234375,0.8100204467773438,1.0992660522460938,0.1946600502815989,0.6108775127076311,0.4162174624260322
98,general,0.7199249267578125,0.47826385498046875,0.497467041015625,0.57147216796875,0.07946329913180741,0.385698500394633,0.30623520126282555
