condition,mean,median,std,min,max,positive_fraction,n
single_head,0.17319204597696852,0.1683863084157209,0.06689475108026702,0.0517638501636562,0.3228298624632015,1.0,40
three_head_circuit,0.4841127346996684,0.473154348815792,0.10885305837464085,0.24636951554815475,0.7042893606424703,1.0,40
circuit_minus_single,0.3109206887226999,0.32394441357595705,0.07241172222275478,0.1702048535008664,0.4822043910603525,1.0,40
