pair_id,domain,layer,head,head_label,clean_ld,corrupted_ld,patched_ld,behavioral_gap,recovery
2,movie,0,0,L0H0,1.0695114135742188,-0.5381088256835938,-0.533203125,1.6076202392578125,0.0030515295613960155
2,movie,0,1,L0H1,1.0695114135742188,-0.5381088256835938,-0.538116455078125,1.6076202392578125,-4.745769146805622e-06
2,movie,0,2,L0H2,1.0695114135742188,-0.5381088256835938,-0.5380477905273438,1.6076202392578125,3.796615317444498e-05
2,movie,0,3,L0H3,1.0695114135742188,-0.5381088256835938,-0.5384902954101562,1.6076202392578125,-0.00023728845734028115
2,movie,0,4,L0H4,1.0695114135742188,-0.5381088256835938,-0.5355148315429688,1.6076202392578125,0.0016135615099139118
2,movie,0,5,L0H5,1.0695114135742188,-0.5381088256835938,-0.5381011962890625,1.6076202392578125,4.745769146805622e-06
2,movie,0,6,L0H6,1.0695114135742188,-0.5381088256835938,-0.5337905883789062,1.6076202392578125,0.0026861053370919826
2,movie,0,7,L0H7,1.0695114135742188,-0.5381088256835938,-0.5350112915039062,1.6076202392578125,0.0019267822736030828
2,movie,0,8,L0H8,1.0695114135742188,-0.5381088256835938,-0.53802490234375,1.6076202392578125,5.220346061486185e-05
2,movie,0,9,L0H9,1.0695114135742188,-0.5381088256835938,-0.532562255859375,1.6076202392578125,0.003450174169727688
2,movie,0,10,L0H10,1.0695114135742188,-0.5381088256835938,-0.540435791015625,1.6076202392578125,-0.001447459589775715
2,movie,0,11,L0H11,1.0695114135742188,-0.5381088256835938,-0.535919189453125,1.6076202392578125,0.0013620357451332137
2,movie,1,0,L1H0,1.0695114135742188,-0.5381088256835938,-0.5412216186523438,1.6076202392578125,-0.001936273811896694
2,movie,1,1,L1H1,1.0695114135742188,-0.5381088256835938,-0.537017822265625,1.6076202392578125,0.000678644987993204
2,movie,1,2,L1H2,1.0695114135742188,-0.5381088256835938,-0.5401229858398438,1.6076202392578125,-0.0012528830547566844
2,movie,1,3,L1H3,1.0695114135742188,-0.5381088256835938,-0.5376434326171875,1.6076202392578125,0.000289491917955143
2,movie,1,4,L1H4,1.0695114135742188,-0.5381088256835938,-0.5380172729492188,1.6076202392578125,5.6949229761667476e-05
2,movie,1,5,L1H5,1.0695114135742188,-0.5381088256835938,-0.536590576171875,1.6076202392578125,0.000944408060214319
2,movie,1,6,L1H6,1.0695114135742188,-0.5381088256835938,-0.5355072021484375,1.6076202392578125,0.0016183072790607173
2,movie,1,7,L1H7,1.0695114135742188,-0.5381088256835938,-0.5261993408203125,1.6076202392578125,0.007408145638163577
2,movie,1,8,L1H8,1.0695114135742188,-0.5381088256835938,-0.5392303466796875,1.6076202392578125,-0.0006976280645804266
2,movie,1,9,L1H9,1.0695114135742188,-0.5381088256835938,-0.5384674072265625,1.6076202392578125,-0.00022305114989986427
2,movie,1,10,L1H10,1.0695114135742188,-0.5381088256835938,-0.5376663208007812,1.6076202392578125,0.0002752546105147261
