head,n,mean_recovery,median_recovery,std_recovery,standard_error,ci95_low,ci95_high,positive_recovery_fraction,cohens_d_vs_zero
L8H9,20,0.14275673785932846,0.1513674219299197,0.049541352273938036,0.011077783138178922,0.11957067128160122,0.16594280443705572,1.0,2.8815672424514696
L9H2,20,0.16741063437750536,0.14891856876340964,0.06388307467744878,0.01428468975904709,0.13751243510205977,0.19730883365295096,1.0,2.6205788500753333
L10H4,20,0.22264202013224668,0.23425350421017577,0.06139554384951863,0.013728460956309278,0.19390802112068606,0.2513760191438073,1.0,3.6263547184783556
