head_a,head_b,n_pairs,mean_a,mean_b,mean_difference_a_minus_b,median_difference,ci95_low,ci95_high,paired_cohens_d,a_wins_fraction
L8H9,L9H2,20,0.14275673785932846,0.16741063437750536,-0.0246538965181769,-0.02847701952839364,-0.06493392369746531,0.01562613066111152,-0.28645409531465266,0.45
L8H9,L10H4,20,0.14275673785932846,0.22264202013224668,-0.07988528227291823,-0.07871204268936645,-0.12434021920398836,-0.035430345341848114,-0.8410193680539673,0.2
L9H2,L10H4,20,0.16741063437750536,0.22264202013224668,-0.055231385754741326,-0.05811198156201475,-0.09769979399404989,-0.01276297751543276,-0.6086661895613285,0.35
