condition,n,mean_recovery,median_recovery,std_recovery,ci95_low,ci95_high,positive_recovery_fraction,cohens_d_vs_zero
L10H4 + L9H2 + L8H9,20,0.5466720854245801,0.5442902777489781,0.08033695751212479,0.5090732319409608,0.5842709389081995,1.0,6.80473971574134
L10H4 + L9H2,20,0.4026487919630123,0.39761416961067164,0.09448138609482988,0.3584301421321092,0.44686744179391535,1.0,4.261673209989514
L10H4 + L8H9,20,0.3665767181163559,0.366642332638003,0.05817060943593396,0.3393520348701123,0.3938014013625995,1.0,6.30175137704349
L9H2 + L8H9,20,0.31202486062046453,0.32163815983250854,0.07264506099914433,0.2780259255176111,0.34602379572331793,1.0,4.295197172787009
L10H4,20,0.22264202013224668,0.23425350421017577,0.06139554384951863,0.19390802112068606,0.2513760191438073,1.0,3.6263547184783556
L9H2,20,0.16741063437750536,0.14891856876340964,0.06388307467744878,0.13751243510205977,0.19730883365295096,1.0,2.6205788500753333
L8H9,20,0.14275673785932846,0.1513674219299197,0.049541352273938036,0.11957067128160122,0.16594280443705572,1.0,2.8815672424514696
