pair_id,layer,head,head_label,clean_ld,corrupted_ld,patched_ld,behavioral_gap,recovery
1,0,0,L0H0,1.0762939453125,-0.21822357177734375,-0.216156005859375,1.2945175170898438,0.0015971710623250332
2,0,0,L0H0,1.0695114135742188,-0.5381088256835938,-0.533203125,1.6076202392578125,0.0030515295613960155
3,0,0,L0H0,1.0176162719726562,-0.01616668701171875,-0.0163116455078125,1.033782958984375,-0.00014022140221402215
4,0,0,L0H0,1.1721267700195312,-0.171600341796875,-0.1694793701171875,1.3437271118164062,0.0015784244144783535
5,0,0,L0H0,0.8647003173828125,0.14643096923828125,0.14772796630859375,0.7182693481445312,0.001805725211110521
6,0,0,L0H0,1.33782958984375,0.42436981201171875,0.4246063232421875,0.9134597778320312,0.0002589180566111802
7,0,0,L0H0,0.7145462036132812,-0.17333984375,-0.17132568359375,0.8878860473632812,0.0022684894781614924
8,0,0,L0H0,0.9897918701171875,-0.269012451171875,-0.2683563232421875,1.2588043212890625,0.0005212310750693965
9,0,0,L0H0,0.9612808227539062,-0.08667755126953125,-0.08452606201171875,1.0479583740234375,0.0020530293102695146
10,0,0,L0H0,1.1173248291015625,-0.10051727294921875,-0.098419189453125,1.2178421020507812,0.0017227877838684417
11,0,0,L0H0,1.19085693359375,0.0048065185546875,0.0039825439453125,1.1860504150390625,-0.0006947214038518443
12,0,0,L0H0,0.45844268798828125,-0.6960830688476562,-0.6917953491210938,1.1545257568359375,0.003713836353303464
13,0,0,L0H0,0.9303741455078125,0.20587921142578125,0.20603179931640625,0.7244949340820312,0.0002106127778772338
14,0,0,L0H0,0.9232177734375,0.32161712646484375,0.3178863525390625,0.6016006469726562,-0.006201412755380264
15,0,0,L0H0,0.989288330078125,0.3269500732421875,0.3238372802734375,0.6623382568359375,-0.00469970281291036
16,0,0,L0H0,0.924041748046875,-0.5454788208007812,-0.5427627563476562,1.4695205688476562,0.0018482656933851817
17,0,0,L0H0,1.2387847900390625,0.278106689453125,0.28104400634765625,0.9606781005859375,0.0030575453866802204
18,0,0,L0H0,0.9242019653320312,-0.08154296875,-0.07576751708984375,1.0057449340820312,0.0057424615968139575
19,0,0,L0H0,1.2661972045898438,0.3300018310546875,0.33045196533203125,0.9361953735351562,0.0004808123283540735
20,0,0,L0H0,0.8046112060546875,-0.3928375244140625,-0.39482879638671875,1.19744873046875,-0.0016629287935164892
1,0,1,L0H1,1.0762939453125,-0.21822357177734375,-0.21823883056640625,1.2945175170898438,-1.1787240312361869e-05
2,0,1,L0H1,1.0695114135742188,-0.5381088256835938,-0.538116455078125,1.6076202392578125,-4.745769146805622e-06
3,0,1,L0H1,1.0176162719726562,-0.01616668701171875,-0.01619720458984375,1.033782958984375,-2.952029520295203e-05
4,0,1,L0H1,1.1721267700195312,-0.171600341796875,-0.1716156005859375,1.3437271118164062,-1.13555713271824e-05
5,0,1,L0H1,0.8647003173828125,0.14643096923828125,0.14642333984375,0.7182693481445312,-1.0621913006532477e-05
6,0,1,L0H1,1.33782958984375,0.42436981201171875,0.42435455322265625,0.9134597778320312,-1.67043907491084e-05
7,0,1,L0H1,0.7145462036132812,-0.17333984375,-0.173370361328125,0.8878860473632812,-3.4371052699416554e-05
