layer,head,head_label,mean_difference_norm,median_difference_norm,mean_max_difference_norm,mean_absolute_difference,mean_signed_difference,n_pairs
10,4,L10H4,0.2446346528828144,0.22313521802425385,1.105392717818419,0.024170152423903347,0.0006233363151200896,60
8,9,L8H9,0.23174144526322682,0.22699102014303207,0.7872972980141639,0.023555281789352497,1.4483207799761051e-05,60
9,2,L9H2,0.1806254519770543,0.16724500060081482,0.7907927992443243,0.018123177586433788,-0.0003545366902471869,60
