layer,mean_head_difference_norm,median_head_difference_norm,max_head_difference_norm
0,0.1241522733354941,0.0884435623884201,0.9372555613517761
1,0.13359093185669432,0.10276944935321808,1.2288140058517456
2,0.212720286158017,0.1679588481783867,1.5500688552856445
3,0.22874522883341544,0.157256580889225,1.381748080253601
4,0.2379685141508364,0.16863202303647995,2.131817579269409
5,0.1836555931815787,0.14557866007089615,1.5057505369186401
6,0.22780074702330036,0.18685338646173477,1.192504644393921
7,0.16023490797055678,0.12724395096302032,1.093385934829712
8,0.20185050445401834,0.1683282032608986,1.2626675367355347
9,0.14535858913635213,0.10715288296341896,1.1248161792755127
10,0.1599132377305068,0.11130345612764359,1.4397772550582886
11,0.2553985739307892,0.1460268497467041,2.336151123046875
