rank,layer,head,head_label,mean_recovery,median_recovery,std_recovery,min_recovery,max_recovery,positive_recovery_fraction,strong_recovery_fraction,full_recovery_fraction,n_pairs
1,10,4,L10H4,0.1770275339423595,0.1696906523017147,0.0767282651166565,0.0393743665764116,0.3539211242067089,1.0,0.2,0.0,60
2,8,9,L8H9,0.1624279868844315,0.1547485839506637,0.0693302427758982,0.0664028019021042,0.5510539437896645,1.0,0.0666666666666666,0.0166666666666666,60
3,9,2,L9H2,0.1601051088530783,0.1272917797419722,0.1213493462642312,0.0326352409916136,0.9231640979147778,1.0,0.1333333333333333,0.0166666666666666,60
