pair_id,domain,layer,head,head_label,position,clean_token,corrupted_token,difference_norm,absolute_difference,signed_difference
3,movie,9,2,L9H2,6, amazing, horrible,0.06979914009571075,0.007325115613639355,0.002057149074971676
3,movie,9,2,L9H2,7,.,.,0.38095325231552124,0.039432376623153687,0.009210660122334957
3,movie,9,2,L9H2,8,"
","
",0.06974849849939346,0.007346104830503464,0.0008960472769103944
3,movie,9,2,L9H2,9,Sent,Sent,0.4220871329307556,0.044342029839754105,0.00019584130495786667
3,movie,9,2,L9H2,10,iment,iment,0.3299596309661865,0.03488602116703987,0.0025665489956736565
3,movie,9,2,L9H2,11,:,:,0.8933805823326111,0.09529046714305878,0.0025512673892080784
4,movie,10,4,L10H4,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
4,movie,10,4,L10H4,1,Review,Review,0.0,0.0,0.0
4,movie,10,4,L10H4,2,:,:,0.0,0.0,0.0
4,movie,10,4,L10H4,3, The, The,0.0,0.0,0.0
4,movie,10,4,L10H4,4, story, story,0.0,0.0,0.0
4,movie,10,4,L10H4,5, was, was,0.0,0.0,0.0
4,movie,10,4,L10H4,6, brilliant, dreadful,0.48308703303337097,0.05022779852151871,0.013927838765084743
4,movie,10,4,L10H4,7,.,.,0.7785894274711609,0.07775243371725082,0.01599133387207985
4,movie,10,4,L10H4,8,"
","
",0.15008650720119476,0.015189451165497303,0.0020610049832612276
4,movie,10,4,L10H4,9,Sent,Sent,0.094893679022789,0.009910961613059044,-0.00023328629322350025
4,movie,10,4,L10H4,10,iment,iment,0.8785793781280518,0.09213211387395859,0.0017319575417786837
4,movie,10,4,L10H4,11,:,:,2.0428900718688965,0.21489006280899048,0.005640370771288872
4,movie,8,9,L8H9,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
4,movie,8,9,L8H9,1,Review,Review,0.0,0.0,0.0
4,movie,8,9,L8H9,2,:,:,0.0,0.0,0.0
4,movie,8,9,L8H9,3, The, The,0.0,0.0,0.0
4,movie,8,9,L8H9,4, story, story,0.0,0.0,0.0
4,movie,8,9,L8H9,5, was, was,0.0,0.0,0.0
4,movie,8,9,L8H9,6, brilliant, dreadful,0.3197649419307709,0.030465878546237946,0.008225768804550171
4,movie,8,9,L8H9,7,.,.,0.26444628834724426,0.024953126907348633,0.005727676674723625
4,movie,8,9,L8H9,8,"
","
",0.1676926463842392,0.01620662771165371,0.0044798702001571655
4,movie,8,9,L8H9,9,Sent,Sent,0.194993793964386,0.019100066274404526,0.001685175346210599
4,movie,8,9,L8H9,10,iment,iment,0.4041815996170044,0.04228639602661133,-0.004763792268931866
4,movie,8,9,L8H9,11,:,:,0.8030674457550049,0.08320658653974533,-0.005337953567504883
4,movie,9,2,L9H2,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
4,movie,9,2,L9H2,1,Review,Review,0.0,0.0,0.0
4,movie,9,2,L9H2,2,:,:,0.0,0.0,0.0
4,movie,9,2,L9H2,3, The, The,0.0,0.0,0.0
4,movie,9,2,L9H2,4, story, story,0.0,0.0,0.0
4,movie,9,2,L9H2,5, was, was,0.0,0.0,0.0
4,movie,9,2,L9H2,6, brilliant, dreadful,0.1032768040895462,0.010884379036724567,0.001646416145376861
4,movie,9,2,L9H2,7,.,.,0.6801976561546326,0.07417461276054382,0.0032615112140774727
4,movie,9,2,L9H2,8,"
","
",0.08778295665979385,0.009535819292068481,0.0011590076610445976
4,movie,9,2,L9H2,9,Sent,Sent,0.45784276723861694,0.04977412149310112,0.00190941640175879
4,movie,9,2,L9H2,10,iment,iment,0.5358151793479919,0.05820045620203018,0.004145229235291481
4,movie,9,2,L9H2,11,:,:,1.3155804872512817,0.14041867852210999,0.016379401087760925
5,movie,10,4,L10H4,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
5,movie,10,4,L10H4,1,Review,Review,0.0,0.0,0.0
5,movie,10,4,L10H4,2,:,:,0.0,0.0,0.0
5,movie,10,4,L10H4,3, The, The,0.0,0.0,0.0
5,movie,10,4,L10H4,4, ending, ending,0.0,0.0,0.0
5,movie,10,4,L10H4,5, was, was,0.0,0.0,0.0
5,movie,10,4,L10H4,6, satisfying, disappointing,0.6939628720283508,0.06869573146104813,0.00770958699285984
5,movie,10,4,L10H4,7,.,.,0.500294029712677,0.04759755730628967,0.010280966758728027
5,movie,10,4,L10H4,8,"
","
",0.1843697726726532,0.01758904755115509,0.0038669859059154987
5,movie,10,4,L10H4,9,Sent,Sent,0.030834011733531952,0.003116360167041421,-0.0003461564192548394
5,movie,10,4,L10H4,10,iment,iment,0.3822937309741974,0.03760453313589096,-0.0038301520980894566
5,movie,10,4,L10H4,11,:,:,0.7577300071716309,0.07762089371681213,0.0014902330003678799
5,movie,8,9,L8H9,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
5,movie,8,9,L8H9,1,Review,Review,0.0,0.0,0.0
5,movie,8,9,L8H9,2,:,:,0.0,0.0,0.0
5,movie,8,9,L8H9,3, The, The,0.0,0.0,0.0
5,movie,8,9,L8H9,4, ending, ending,0.0,0.0,0.0
5,movie,8,9,L8H9,5, was, was,0.0,0.0,0.0
5,movie,8,9,L8H9,6, satisfying, disappointing,0.41561928391456604,0.04005197063088417,0.006112289149314165
5,movie,8,9,L8H9,7,.,.,0.23752102255821228,0.023867174983024597,0.001141133951023221
5,movie,8,9,L8H9,8,"
","
",0.2570168375968933,0.026332855224609375,-0.003534946357831359
5,movie,8,9,L8H9,9,Sent,Sent,0.2526501417160034,0.0259980671107769,-0.0049742646515369415
5,movie,8,9,L8H9,10,iment,iment,0.5526895523071289,0.057907506823539734,-0.01521394494920969
5,movie,8,9,L8H9,11,:,:,0.564238429069519,0.05841146782040596,-0.007203423418104649
5,movie,9,2,L9H2,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
5,movie,9,2,L9H2,1,Review,Review,0.0,0.0,0.0
5,movie,9,2,L9H2,2,:,:,0.0,0.0,0.0
5,movie,9,2,L9H2,3, The, The,0.0,0.0,0.0
5,movie,9,2,L9H2,4, ending, ending,0.0,0.0,0.0
5,movie,9,2,L9H2,5, was, was,0.0,0.0,0.0
5,movie,9,2,L9H2,6, satisfying, disappointing,0.0678236186504364,0.006780165713280439,-2.1354644559323788e-06
5,movie,9,2,L9H2,7,.,.,0.5211414694786072,0.050104930996894836,-0.006777032744139433
5,movie,9,2,L9H2,8,"
","
",0.06130838021636009,0.006240369286388159,0.0006636448670178652
5,movie,9,2,L9H2,9,Sent,Sent,0.3240877389907837,0.031656306236982346,-0.003316208953037858
5,movie,9,2,L9H2,10,iment,iment,0.3615953326225281,0.035141721367836,-0.003877178533002734
5,movie,9,2,L9H2,11,:,:,0.9895601272583008,0.10179518163204193,-0.005860259756445885
6,movie,10,4,L10H4,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
6,movie,10,4,L10H4,1,Review,Review,0.0,0.0,0.0
6,movie,10,4,L10H4,2,:,:,0.0,0.0,0.0
6,movie,10,4,L10H4,3, The, The,0.0,0.0,0.0
6,movie,10,4,L10H4,4, performance, performance,0.0,0.0,0.0
6,movie,10,4,L10H4,5, was, was,0.0,0.0,0.0
6,movie,10,4,L10H4,6, outstanding, terrible,0.7983143925666809,0.07250629365444183,0.007162305526435375
6,movie,10,4,L10H4,7,.,.,0.37530288100242615,0.03744050860404968,0.0045921700075268745
