rank,condition,n_heads,mean_recovery,median_recovery,std_recovery,min_recovery,max_recovery,positive_fraction,recovery_ge_025,recovery_ge_050,n_pairs
1,L10H4 + L8H9 + L9H2,3,0.4983251384182862,0.447932999038574,0.2160160163958896,0.193564674561645,1.8278558476881237,1.0,0.9833333333333332,0.4166666666666667,60
2,L10H4 + L9H2,2,0.3388975457940897,0.3104616858139517,0.1718649243040698,0.0846783342661362,1.246090208522212,1.0,0.7,0.1166666666666666,60
3,L10H4 + L8H9,2,0.3376421416392836,0.3104573340254818,0.1110242246497066,0.1345359405122555,0.8914324569356301,1.0,0.85,0.05,60
4,L8H9 + L9H2,2,0.3221449316130234,0.284488813423249,0.1767093684904603,0.1283393004681906,1.5211922030825022,1.0,0.7333333333333333,0.0333333333333333,60
5,L10H4,1,0.1770275339423595,0.1696906523017147,0.0767282651166565,0.0393743665764116,0.3539211242067089,1.0,0.2,0.0,60
6,L8H9,1,0.1624279868844315,0.1547485839506637,0.0693302427758982,0.0664028019021042,0.5510539437896645,1.0,0.0666666666666666,0.0166666666666666,60
7,L9H2,1,0.1601051088530783,0.1272917797419722,0.1213493462642312,0.0326352409916136,0.9231640979147778,1.0,0.1333333333333333,0.0166666666666666,60
