pair_id,single_recovery,multi_recovery,improvement,relative_improvement
1,0.2516045380875202,0.6012965964343598,0.34969205834683964,1.3898479773254322
2,0.2959319266873582,0.6116916768700703,0.31575975018271213,1.0670012989720483
3,0.1906715867158671,0.5845830258302583,0.39391143911439125,2.065915776435982
4,0.2765990063875089,0.628792051100071,0.3521930447125621,1.2732983003530665
5,0.1716394922725582,0.5828880981464761,0.4112486058739179,2.3960022278606363
6,0.2430071244226544,0.652047540696072,0.4090404162734176,1.6832445437360382
7,0.2254998839976971,0.5015252154635366,0.27602533146583946,1.2240597492664713
8,0.3090233584251549,0.5078366486054038,0.1988132901802489,0.64336007217526
9,0.0946504754000495,0.4171726437484529,0.3225221683484034,3.40750711483732
10,0.2817102584181676,0.5157650743931088,0.2340548159749412,0.8308352606297809
11,0.1708757349251888,0.5541303760501228,0.383254641124934,2.242885107664508
12,0.1962716254972707,0.3835295983505808,0.1872579728533101,0.9540756203494838
13,0.3260075188761702,0.6798896389043924,0.35388212002822217,1.085502939466374
14,0.1371158992048495,0.5344501794478334,0.39733428024298384,2.8977987421383657
15,0.2452945377473679,0.5773262377035961,0.3320316999562283,1.3536041324254522
16,0.2607041061610587,0.4729483472039789,0.21224424104292017,0.8141192870656174
17,0.1946822535300751,0.5187979478708366,0.3241156943407615,1.6648445786081427
18,0.1684657690119476,0.4966660345154561,0.3282002655035085,1.9481718299711825
19,0.1644296669355956,0.4581978501984369,0.29376818326284126,1.786588690092679
20,0.2486556399408736,0.6539069269585606,0.405251287017687,1.6297691341891514
