domain,pairs,clean_correct,clean_accuracy,corrupted_correct,corrupted_accuracy,mean_clean_ld,median_clean_ld,mean_corrupted_ld,median_corrupted_ld,mean_behavioral_gap,median_behavioral_gap,positive_behavioral_gap_pairs,positive_behavioral_gap_fraction
book,10,10,1.0,1,0.1,1.1149215698242188,1.1558685302734375,0.33612899780273436,0.27393341064453125,0.7787925720214843,0.7390632629394531,10,1.0
general,20,20,1.0,1,0.05,1.217886734008789,1.1644172668457031,0.4317577362060547,0.4627037048339844,0.7861289978027344,0.7739791870117188,20,1.0
movie,25,25,1.0,14,0.56,0.9965814208984375,0.989288330078125,-0.0214208984375,-0.078216552734375,1.0180023193359375,1.0057449340820312,25,1.0
product,15,15,1.0,1,0.06666666666666667,1.278510538736979,1.3575210571289062,0.5631235758463542,0.5699996948242188,0.715386962890625,0.7636947631835938,15,1.0
restaurant,15,15,1.0,1,0.06666666666666667,1.2701716105143228,1.2228851318359375,0.3961491902669271,0.41695404052734375,0.8740224202473958,0.8956451416015625,15,1.0
software,15,15,1.0,1,0.06666666666666667,1.1811421712239583,1.1728744506835938,0.321722412109375,0.3409271240234375,0.8594197591145833,0.8416519165039062,15,1.0
