pair_id,domain,condition,n_heads,heads,clean_ld,corrupted_ld,patched_ld,behavioral_gap,recovery
30,restaurant,L10H4 + L8H9,2,L10H4 + L8H9,1.1209259033203125,0.41695404052734375,0.731414794921875,0.7039718627929688,0.44669506128686154
30,restaurant,L10H4 + L9H2,2,L10H4 + L9H2,1.1209259033203125,0.41695404052734375,0.7293243408203125,0.7039718627929688,0.4437255475718265
30,restaurant,L8H9 + L9H2,2,L8H9 + L9H2,1.1209259033203125,0.41695404052734375,0.771697998046875,0.7039718627929688,0.5039178073284131
30,restaurant,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.1209259033203125,0.41695404052734375,0.9037017822265625,0.7039718627929688,0.6914306770274518
31,restaurant,L10H4,1,L10H4,1.3794479370117188,0.48380279541015625,0.5439071655273438,0.8956451416015625,0.0671073479053444
31,restaurant,L8H9,1,L8H9,1.3794479370117188,0.48380279541015625,0.6300277709960938,0.8956451416015625,0.16326217694260353
31,restaurant,L9H2,1,L9H2,1.3794479370117188,0.48380279541015625,0.5522613525390625,0.8956451416015625,0.07643491149462493
31,restaurant,L10H4 + L8H9,2,L10H4 + L8H9,1.3794479370117188,0.48380279541015625,0.6875381469726562,0.8956451416015625,0.22747329505766906
31,restaurant,L10H4 + L9H2,2,L10H4 + L9H2,1.3794479370117188,0.48380279541015625,0.6115798950195312,0.8956451416015625,0.1426648721399731
31,restaurant,L8H9 + L9H2,2,L8H9 + L9H2,1.3794479370117188,0.48380279541015625,0.7025222778320312,0.8956451416015625,0.24420328125798593
31,restaurant,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.3794479370117188,0.48380279541015625,0.7589340209960938,0.8956451416015625,0.3071877608736392
35,restaurant,L10H4,1,L10H4,1.16143798828125,0.423065185546875,0.5296707153320312,0.738372802734375,0.14437900392643108
35,restaurant,L8H9,1,L8H9,1.16143798828125,0.423065185546875,0.5347900390625,0.738372802734375,0.15131225459805744
35,restaurant,L9H2,1,L9H2,1.16143798828125,0.423065185546875,0.4784698486328125,0.738372802734375,0.07503616449679686
35,restaurant,L10H4 + L8H9,2,L10H4 + L8H9,1.16143798828125,0.423065185546875,0.639556884765625,0.738372802734375,0.2932010746021905
35,restaurant,L10H4 + L9H2,2,L10H4 + L9H2,1.16143798828125,0.423065185546875,0.5846710205078125,0.738372802734375,0.2188675346145898
35,restaurant,L8H9 + L9H2,2,L8H9 + L9H2,1.16143798828125,0.423065185546875,0.59234619140625,0.738372802734375,0.22926224426534408
35,restaurant,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.16143798828125,0.423065185546875,0.6965866088867188,0.738372802734375,0.3704381070469105
36,restaurant,L10H4,1,L10H4,1.6528778076171875,0.9109039306640625,1.1332855224609375,0.741973876953125,0.29971620120922965
36,restaurant,L8H9,1,L8H9,1.6528778076171875,0.9109039306640625,1.0717697143554688,0.741973876953125,0.21680788055772632
36,restaurant,L9H2,1,L9H2,1.6528778076171875,0.9109039306640625,1.0959091186523438,0.741973876953125,0.249341915847489
36,restaurant,L10H4 + L8H9,2,L10H4 + L8H9,1.6528778076171875,0.9109039306640625,1.2889556884765625,0.741973876953125,0.5095216550816436
36,restaurant,L10H4 + L9H2,2,L10H4 + L9H2,1.6528778076171875,0.9109039306640625,1.3147811889648438,0.741973876953125,0.5443281372105458
36,restaurant,L8H9 + L9H2,2,L8H9 + L9H2,1.6528778076171875,0.9109039306640625,1.2435531616210938,0.741973876953125,0.44833011146300333
36,restaurant,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.6528778076171875,0.9109039306640625,1.4563674926757812,0.741973876953125,0.7351519763089706
