rank,condition,n_heads,mean_recovery,median_recovery,std_recovery,min_recovery,max_recovery,positive_fraction,recovery_ge_025,recovery_ge_050,n_pairs
1,L10H4 + L8H9 + L9H2,3,0.49832513841828624,0.447932999038574,0.2160160163958896,0.19356467456164508,1.8278558476881233,1.0,0.9833333333333333,0.4166666666666667,60
2,L10H4 + L9H2,2,0.33889754579408976,0.3104616858139517,0.17186492430406988,0.08467833426613623,1.246090208522212,1.0,0.7,0.11666666666666667,60
3,L10H4 + L8H9,2,0.3376421416392836,0.3104573340254818,0.11102422464970664,0.13453594051225556,0.8914324569356301,1.0,0.85,0.05,60
4,L8H9 + L9H2,2,0.32214493161302343,0.28448881342324905,0.17670936849046034,0.1283393004681906,1.5211922030825022,1.0,0.7333333333333333,0.03333333333333333,60
5,L10H4,1,0.1770275339423595,0.16969065230171473,0.07672826511665659,0.03937436657641168,0.35392112420670896,1.0,0.2,0.0,60
6,L8H9,1,0.16242798688443155,0.15474858395066374,0.06933024277589829,0.06640280190210428,0.5510539437896645,1.0,0.06666666666666667,0.016666666666666666,60
7,L9H2,1,0.16010510885307838,0.12729177974197228,0.12134934626423127,0.032635240991613676,0.9231640979147778,1.0,0.13333333333333333,0.016666666666666666,60
