condition,num_heads,heads,pair_id,clean_ld,corrupted_ld,patched_ld,baseline_gap,recovery
L10H4,1,L10H4,1,1.0762939453125,-0.21822357177734375,0.10748291015625,1.2945175170898438,0.25160453808752026
L10H4,1,L10H4,2,1.0695114135742188,-0.5381088256835938,-0.0623626708984375,1.6076202392578125,0.29593192668735824
L10H4,1,L10H4,3,1.0176162719726562,-0.01616668701171875,0.18094635009765625,1.033782958984375,0.19067158671586715
L10H4,1,L10H4,4,1.1721267700195312,-0.171600341796875,0.2000732421875,1.3437271118164062,0.2765990063875089
L10H4,1,L10H4,5,0.8647003173828125,0.14643096923828125,0.26971435546875,0.7182693481445312,0.17163949227255829
L10H4,1,L10H4,6,1.33782958984375,0.42436981201171875,0.6463470458984375,0.9134597778320312,0.24300712442265449
L10H4,1,L10H4,7,0.7145462036132812,-0.17333984375,0.02687835693359375,0.8878860473632812,0.22549988399769713
L10H4,1,L10H4,8,0.9897918701171875,-0.269012451171875,0.11998748779296875,1.2588043212890625,0.3090233584251549
L10H4,1,L10H4,9,0.9612808227539062,-0.08667755126953125,0.01251220703125,1.0479583740234375,0.0946504754000495
L10H4,1,L10H4,10,1.1173248291015625,-0.10051727294921875,0.24256134033203125,1.2178421020507812,0.2817102584181676
L10H4,1,L10H4,11,1.19085693359375,0.0048065185546875,0.2074737548828125,1.1860504150390625,0.1708757349251888
L10H4,1,L10H4,12,0.45844268798828125,-0.6960830688476562,-0.469482421875,1.1545257568359375,0.19627162549727079
L10H4,1,L10H4,13,0.9303741455078125,0.20587921142578125,0.44207000732421875,0.7244949340820312,0.32600751887617024
L10H4,1,L10H4,14,0.9232177734375,0.32161712646484375,0.40410614013671875,0.6016006469726562,0.13711589920484954
L10H4,1,L10H4,15,0.989288330078125,0.3269500732421875,0.48941802978515625,0.6623382568359375,0.24529453774736792
L10H4,1,L10H4,16,0.924041748046875,-0.5454788208007812,-0.1623687744140625,1.4695205688476562,0.2607041061610587
L10H4,1,L10H4,17,1.2387847900390625,0.278106689453125,0.4651336669921875,0.9606781005859375,0.19468225353007512
L10H4,1,L10H4,18,0.9242019653320312,-0.08154296875,0.087890625,1.0057449340820312,0.16846576901194765
L10H4,1,L10H4,19,1.2661972045898438,0.3300018310546875,0.48394012451171875,0.9361953735351562,0.1644296669355956
L10H4,1,L10H4,20,0.8046112060546875,-0.3928375244140625,-0.09508514404296875,1.19744873046875,0.24865563994087364
L9H2,1,L9H2,1,1.0762939453125,-0.21822357177734375,0.0763702392578125,1.2945175170898438,0.2275703550906144
L9H2,1,L9H2,2,1.0695114135742188,-0.5381088256835938,-0.23213958740234375,1.6076202392578125,0.19032432586349268
L9H2,1,L9H2,3,1.0176162719726562,-0.01616668701171875,0.187591552734375,1.033782958984375,0.19709963099630998
L9H2,1,L9H2,4,1.1721267700195312,-0.171600341796875,0.121856689453125,1.3437271118164062,0.21839034776437188
L9H2,1,L9H2,5,0.8647003173828125,0.14643096923828125,0.3499908447265625,0.7182693481445312,0.283403260927293
L9H2,1,L9H2,6,1.33782958984375,0.42436981201171875,0.6567001342773438,0.9134597778320312,0.25434105354592457
L9H2,1,L9H2,7,0.7145462036132812,-0.17333984375,-0.07440948486328125,0.8878860473632812,0.1114223600883336
L9H2,1,L9H2,8,0.9897918701171875,-0.269012451171875,-0.1197509765625,1.2588043212890625,0.1185740087518334
L9H2,1,L9H2,9,0.9612808227539062,-0.08667755126953125,0.03203582763671875,1.0479583740234375,0.11328062435387819
L9H2,1,L9H2,10,1.1173248291015625,-0.10051727294921875,-0.0017547607421875,1.2178421020507812,0.08109631949882537
L9H2,1,L9H2,11,1.19085693359375,0.0048065185546875,0.2480316162109375,1.1860504150390625,0.20507146624811845
L9H2,1,L9H2,12,0.45844268798828125,-0.6960830688476562,-0.618255615234375,1.1545257568359375,0.06741075558727515
L9H2,1,L9H2,13,0.9303741455078125,0.20587921142578125,0.29972076416015625,0.7244949340820312,0.1295268583944988
L9H2,1,L9H2,14,0.9232177734375,0.32161712646484375,0.459686279296875,0.6016006469726562,0.22950299925177228
L9H2,1,L9H2,15,0.989288330078125,0.3269500732421875,0.41155242919921875,0.6623382568359375,0.1277328541479485
L9H2,1,L9H2,16,0.924041748046875,-0.5454788208007812,-0.328521728515625,1.4695205688476562,0.14763800989548992
L9H2,1,L9H2,17,1.2387847900390625,0.278106689453125,0.401214599609375,0.9606781005859375,0.12814688924538192
L9H2,1,L9H2,18,0.9242019653320312,-0.08154296875,0.06951904296875,1.0057449340820312,0.15019912763132942
L9H2,1,L9H2,19,1.2661972045898438,0.3300018310546875,0.42962646484375,0.9361953735351562,0.10641436243470324
L9H2,1,L9H2,20,0.8046112060546875,-0.3928375244140625,-0.08022308349609375,1.19744873046875,0.2610670778327132
L8H9,1,L8H9,1,1.0762939453125,-0.21822357177734375,-0.10186004638671875,1.2945175170898438,0.0898894946220716
L8H9,1,L8H9,2,1.0695114135742188,-0.5381088256835938,-0.43135833740234375,1.6076202392578125,0.06640280190210428
L8H9,1,L8H9,3,1.0176162719726562,-0.01616668701171875,0.1753692626953125,1.033782958984375,0.18527675276752767
L8H9,1,L8H9,4,1.1721267700195312,-0.171600341796875,-0.04360198974609375,1.3437271118164062,0.09525621007806956
L8H9,1,L8H9,5,0.8647003173828125,0.14643096923828125,0.24272918701171875,0.7182693481445312,0.13406978596845293
L8H9,1,L8H9,6,1.33782958984375,0.42436981201171875,0.578094482421875,0.9134597778320312,0.1682883846018926
L8H9,1,L8H9,7,0.7145462036132812,-0.17333984375,-0.0465545654296875,0.8878860473632812,0.14279453843972606
L8H9,1,L8H9,8,0.9897918701171875,-0.269012451171875,-0.1889495849609375,1.2588043212890625,0.06360231281137496
L8H9,1,L8H9,9,0.9612808227539062,-0.08667755126953125,0.123291015625,1.0479583740234375,0.20035964414158622
L8H9,1,L8H9,10,1.1173248291015625,-0.10051727294921875,0.0691070556640625,1.2178421020507812,0.13928269381362568
L8H9,1,L8H9,11,1.19085693359375,0.0048065185546875,0.1945037841796875,1.1860504150390625,0.15994030542011348
L8H9,1,L8H9,12,0.45844268798828125,-0.6960830688476562,-0.569122314453125,1.1545257568359375,0.10996788390626859
L8H9,1,L8H9,13,0.9303741455078125,0.20587921142578125,0.362762451171875,0.7244949340820312,0.21654152757447795
L8H9,1,L8H9,14,0.9232177734375,0.32161712646484375,0.4228363037109375,0.6016006469726562,0.1682497812385071
L8H9,1,L8H9,15,0.989288330078125,0.3269500732421875,0.4554290771484375,0.6623382568359375,0.19397792982698642
L8H9,1,L8H9,16,0.924041748046875,-0.5454788208007812,-0.46318817138671875,1.4695205688476562,0.05599829710351845
L8H9,1,L8H9,17,1.2387847900390625,0.278106689453125,0.4764862060546875,0.9606781005859375,0.20649946790768595
L8H9,1,L8H9,18,0.9242019653320312,-0.08154296875,0.08512115478515625,1.0057449340820312,0.1657121183387066
L8H9,1,L8H9,19,1.2661972045898438,0.3300018310546875,0.4918212890625,0.9361953735351562,0.17284795736254063
L8H9,1,L8H9,20,0.8046112060546875,-0.3928375244140625,-0.248931884765625,1.19744873046875,0.1201768693613334
L10H4 + L9H2,2,L10H4 + L9H2,1,1.0762939453125,-0.21822357177734375,0.43414306640625,1.2945175170898438,0.5039457786945631
L10H4 + L9H2,2,L10H4 + L9H2,2,1.0695114135742188,-0.5381088256835938,0.31490325927734375,1.6076202392578125,0.5306054652277494
L10H4 + L9H2,2,L10H4 + L9H2,3,1.0176162719726562,-0.01616668701171875,0.4039459228515625,1.033782958984375,0.40638376383763836
L10H4 + L9H2,2,L10H4 + L9H2,4,1.1721267700195312,-0.171600341796875,0.5391616821289062,1.3437271118164062,0.5289481902058197
L10H4 + L9H2,2,L10H4 + L9H2,5,0.8647003173828125,0.14643096923828125,0.4761810302734375,0.7182693481445312,0.45908970205534017
L10H4 + L9H2,2,L10H4 + L9H2,6,1.33782958984375,0.42436981201171875,0.88824462890625,0.9134597778320312,0.50782183096827
L10H4 + L9H2,2,L10H4 + L9H2,7,0.7145462036132812,-0.17333984375,0.1341705322265625,0.8878860473632812,0.34633991252567087
L10H4 + L9H2,2,L10H4 + L9H2,8,0.9897918701171875,-0.269012451171875,0.28115081787109375,1.2588043212890625,0.43705225644568896
L10H4 + L9H2,2,L10H4 + L9H2,9,0.9612808227539062,-0.08667755126953125,0.1331634521484375,1.0479583740234375,0.20978028218232647
L10H4 + L9H2,2,L10H4 + L9H2,10,1.1173248291015625,-0.10051727294921875,0.3510589599609375,1.2178421020507812,0.37080031323414253
L10H4 + L9H2,2,L10H4 + L9H2,11,1.19085693359375,0.0048065185546875,0.46599578857421875,1.1860504150390625,0.3888445753837049
L10H4 + L9H2,2,L10H4 + L9H2,12,0.45844268798828125,-0.6960830688476562,-0.3792572021484375,1.1545257568359375,0.2744207869103789
L10H4 + L9H2,2,L10H4 + L9H2,13,0.9303741455078125,0.20587921142578125,0.545135498046875,0.7244949340820312,0.4682659196933478
L10H4 + L9H2,2,L10H4 + L9H2,14,0.9232177734375,0.32161712646484375,0.541900634765625,0.6016006469726562,0.36616235273229936
L10H4 + L9H2,2,L10H4 + L9H2,15,0.989288330078125,0.3269500732421875,0.5751190185546875,0.6623382568359375,0.37468611053516715
L10H4 + L9H2,2,L10H4 + L9H2,16,0.924041748046875,-0.5454788208007812,0.0784759521484375,1.4695205688476562,0.42459750899472
L10H4 + L9H2,2,L10H4 + L9H2,17,1.2387847900390625,0.278106689453125,0.5893096923828125,0.9606781005859375,0.32394097746152256
L10H4 + L9H2,2,L10H4 + L9H2,18,0.9242019653320312,-0.08154296875,0.24310302734375,1.0057449340820312,0.3227915797458752
L10H4 + L9H2,2,L10H4 + L9H2,19,1.2661972045898438,0.3300018310546875,0.58624267578125,0.9361953735351562,0.2737044552559307
L10H4 + L9H2,2,L10H4 + L9H2,20,0.8046112060546875,-0.3928375244140625,0.24755096435546875,1.19744873046875,0.5347940771700902
L10H4 + L8H9,2,L10H4 + L8H9,1,1.0762939453125,-0.21822357177734375,0.23235321044921875,1.2945175170898438,0.3480654191837336
L10H4 + L8H9,2,L10H4 + L8H9,2,1.0695114135742188,-0.5381088256835938,0.04871368408203125,1.6076202392578125,0.36502557969570126
L10H4 + L8H9,2,L10H4 + L8H9,3,1.0176162719726562,-0.01616668701171875,0.3689727783203125,1.033782958984375,0.37255350553505534
L10H4 + L8H9,2,L10H4 + L8H9,4,1.1721267700195312,-0.171600341796875,0.3333587646484375,1.3437271118164062,0.37578992193044713
L10H4 + L8H9,2,L10H4 + L8H9,5,0.8647003173828125,0.14643096923828125,0.36566162109375,0.7182693481445312,0.3052206702427107
L10H4 + L8H9,2,L10H4 + L8H9,6,1.33782958984375,0.42436981201171875,0.7925338745117188,0.9134597778320312,0.40304353999448755
L10H4 + L8H9,2,L10H4 + L8H9,7,0.7145462036132812,-0.17333984375,0.16136932373046875,0.8878860473632812,0.3769731132440259
L10H4 + L8H9,2,L10H4 + L8H9,8,0.9897918701171875,-0.269012451171875,0.20577239990234375,1.2588043212890625,0.3771712910772513
L10H4 + L8H9,2,L10H4 + L8H9,9,0.9612808227539062,-0.08667755126953125,0.2248077392578125,1.0479583740234375,0.2972305945048705
L10H4 + L8H9,2,L10H4 + L8H9,10,1.1173248291015625,-0.10051727294921875,0.42303466796875,1.2178421020507812,0.4299013312451057
L10H4 + L8H9,2,L10H4 + L8H9,11,1.19085693359375,0.0048065185546875,0.4074859619140625,1.1860504150390625,0.33951292310463277
L10H4 + L8H9,2,L10H4 + L8H9,12,0.45844268798828125,-0.6960830688476562,-0.3443756103515625,1.1545257568359375,0.30463370471696866
L10H4 + L8H9,2,L10H4 + L8H9,13,0.9303741455078125,0.20587921142578125,0.5972366333007812,0.7244949340820312,0.5401796526995293
L10H4 + L8H9,2,L10H4 + L8H9,14,0.9232177734375,0.32161712646484375,0.5054779052734375,0.6016006469726562,0.3056193169568691
L10H4 + L8H9,2,L10H4 + L8H9,15,0.989288330078125,0.3269500732421875,0.6175384521484375,0.6623382568359375,0.4387310802405142
L10H4 + L8H9,2,L10H4 + L8H9,16,0.924041748046875,-0.5454788208007812,-0.0963287353515625,1.4695205688476562,0.3056439596496602
L10H4 + L8H9,2,L10H4 + L8H9,17,1.2387847900390625,0.278106689453125,0.6598434448242188,0.9606781005859375,0.3973617751234931
L10H4 + L8H9,2,L10H4 + L8H9,18,0.9242019653320312,-0.08154296875,0.25749969482421875,1.0057449340820312,0.3371060117580125
L10H4 + L8H9,2,L10H4 + L8H9,19,1.2661972045898438,0.3300018310546875,0.6515960693359375,0.9361953735351562,0.34351188584374415
L10H4 + L8H9,2,L10H4 + L8H9,20,0.8046112060546875,-0.3928375244140625,0.04813385009765625,1.19744873046875,0.3682590855803048
L9H2 + L8H9,2,L9H2 + L8H9,1,1.0762939453125,-0.21822357177734375,0.197906494140625,1.2945175170898438,0.3214557241785767
L9H2 + L8H9,2,L9H2 + L8H9,2,1.0695114135742188,-0.5381088256835938,-0.102996826171875,1.6076202392578125,0.2706559602114715
L9H2 + L8H9,2,L9H2 + L8H9,3,1.0176162719726562,-0.01616668701171875,0.38007354736328125,1.033782958984375,0.38329151291512914
L9H2 + L8H9,2,L9H2 + L8H9,4,1.1721267700195312,-0.171600341796875,0.25682830810546875,1.3437271118164062,0.3188360539389638
L9H2 + L8H9,2,L9H2 + L8H9,5,0.8647003173828125,0.14643096923828125,0.44019317626953125,0.7182693481445312,0.4089861384035265
L9H2 + L8H9,2,L9H2 + L8H9,6,1.33782958984375,0.42436981201171875,0.8004379272460938,0.9134597778320312,0.4116964144025257
L9H2 + L8H9,2,L9H2 + L8H9,7,0.7145462036132812,-0.17333984375,0.05518341064453125,0.8878860473632812,0.257379035376406
L9H2 + L8H9,2,L9H2 + L8H9,8,0.9897918701171875,-0.269012451171875,-0.0362091064453125,1.2588043212890625,0.18494005842636702
L9H2 + L8H9,2,L9H2 + L8H9,9,0.9612808227539062,-0.08667755126953125,0.2469482421875,1.0479583740234375,0.3183578677616156
L9H2 + L8H9,2,L9H2 + L8H9,10,1.1173248291015625,-0.10051727294921875,0.16463470458984375,1.2178421020507812,0.21772278778386844
L9H2 + L8H9,2,L9H2 + L8H9,11,1.19085693359375,0.0048065185546875,0.43450164794921875,1.1860504150390625,0.36229077950314553
L9H2 + L8H9,2,L9H2 + L8H9,12,0.45844268798828125,-0.6960830688476562,-0.48876953125,1.1545257568359375,0.17956597015714418
L9H2 + L8H9,2,L9H2 + L8H9,13,0.9303741455078125,0.20587921142578125,0.45581817626953125,0.7244949340820312,0.344983730162909
L9H2 + L8H9,2,L9H2 + L8H9,14,0.9232177734375,0.32161712646484375,0.5608062744140625,0.6016006469726562,0.39758791675649624
L9H2 + L8H9,2,L9H2 + L8H9,15,0.989288330078125,0.3269500732421875,0.5468521118164062,0.6623382568359375,0.33200866219734143
L9H2 + L8H9,2,L9H2 + L8H9,16,0.924041748046875,-0.5454788208007812,-0.236724853515625,1.4695205688476562,0.2101052369258565
L9H2 + L8H9,2,L9H2 + L8H9,17,1.2387847900390625,0.278106689453125,0.5932693481445312,0.9606781005859375,0.32806270747629407
L9H2 + L8H9,2,L9H2 + L8H9,18,0.9242019653320312,-0.08154296875,0.24212646484375,1.0057449340820312,0.3218205954864404
L9H2 + L8H9,2,L9H2 + L8H9,19,1.2661972045898438,0.3300018310546875,0.5961151123046875,0.9361953735351562,0.2842497290337302
L9H2 + L8H9,2,L9H2 + L8H9,20,0.8046112060546875,-0.3928375244140625,0.069976806640625,1.19744873046875,0.38650033131148376
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,1,1.0762939453125,-0.21822357177734375,0.5601654052734375,1.2945175170898438,0.6012965964343598
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,2,1.0695114135742188,-0.5381088256835938,0.44525909423828125,1.6076202392578125,0.6116916768700703
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,3,1.0176162719726562,-0.01616668701171875,0.588165283203125,1.033782958984375,0.5845830258302583
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,4,1.1721267700195312,-0.171600341796875,0.6733245849609375,1.3437271118164062,0.628792051100071
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,5,0.8647003173828125,0.14643096923828125,0.5651016235351562,0.7182693481445312,0.5828880981464761
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,6,1.33782958984375,0.42436981201171875,1.019989013671875,0.9134597778320312,0.652047540696072
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,7,0.7145462036132812,-0.17333984375,0.2719573974609375,0.8878860473632812,0.5015252154635366
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,8,0.9897918701171875,-0.269012451171875,0.3702545166015625,1.2588043212890625,0.5078366486054038
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,9,0.9612808227539062,-0.08667755126953125,0.35050201416015625,1.0479583740234375,0.4171726437484529
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,10,1.1173248291015625,-0.10051727294921875,0.5276031494140625,1.2178421020507812,0.5157650743931088
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,11,1.19085693359375,0.0048065185546875,0.6620330810546875,1.1860504150390625,0.5541303760501228
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,12,0.45844268798828125,-0.6960830688476562,-0.25328826904296875,1.1545257568359375,0.38352959835058087
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,13,0.9303741455078125,0.20587921142578125,0.698455810546875,0.7244949340820312,0.6798896389043924
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,14,0.9232177734375,0.32161712646484375,0.6431427001953125,0.6016006469726562,0.5344501794478334
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,15,0.989288330078125,0.3269500732421875,0.7093353271484375,0.6623382568359375,0.5773262377035961
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,16,0.924041748046875,-0.5454788208007812,0.14952850341796875,1.4695205688476562,0.47294834720397894
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,17,1.2387847900390625,0.278106689453125,0.7765045166015625,0.9606781005859375,0.5187979478708366
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,18,0.9242019653320312,-0.08154296875,0.41797637939453125,1.0057449340820312,0.4966660345154561
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,19,1.2661972045898438,0.3300018310546875,0.7589645385742188,0.9361953735351562,0.45819785019843695
L10H4 + L9H2 + L8H9,3,L10H4 + L9H2 + L8H9,20,0.8046112060546875,-0.3928375244140625,0.3901824951171875,1.19744873046875,0.6539069269585606
